hedge_fund,date,市值,加碼,減碼,XIRR
Brave Warrior Advisors,2015-05-15,2938978512.76,186314715.67999998,144020479.42000002,0.44926588171203896
Brave Warrior Advisors,2015-08-14,2997754331.0599995,36074860.45,76838420.83,0.39554318291057505
Brave Warrior Advisors,2015-11-16,2341623463.47,322200071.23,13070315.64,0.0814644612552674
Brave Warrior Advisors,2016-02-16,1929466929.4699998,78722234.91,41292499.82,-0.045778867165780765
Brave Warrior Advisors,2016-05-16,1723301413.73,36181175.47,199385407.4,-0.050868678172271684
Brave Warrior Advisors,2016-08-15,1480955471.5300002,143403528.35,480981139.39,-0.025084095586421544
Brave Warrior Advisors,2016-11-14,1642541769.63,0.0,128830784.33000001,0.03188271411087055
Brave Warrior Advisors,2017-02-14,1666281323.27,150064401.77,298203305.32,0.057760178082757026
Brave Warrior Advisors,2017-05-15,1491317331.34,21044239.04,150259534.20999998,0.04746525529536249
Brave Warrior Advisors,2017-08-14,1695892355.07,16048684.760000002,106847376.03,0.08500501016799969
Brave Warrior Advisors,2017-11-14,1748321250.3300002,114085326.16000001,174393978.06,0.09419875519151143
Brave Warrior Advisors,2018-02-14,1684739790.05,52620047.28,126591938.02999999,0.09093117597838081
Brave Warrior Advisors,2018-05-15,1480922266.13,11310010.0,110546146.12,0.07592215595239922
Brave Warrior Advisors,2018-08-14,1555807403.69,56058943.28,4856998.149999999,0.07555196504493811
Brave Warrior Advisors,2018-11-14,1343394382.82,4173158.36,401222531.21999997,0.09035160685243773
Brave Warrior Advisors,2019-02-14,1446056750.6599998,105225173.03,10128196.43,0.08840854484217653
Brave Warrior Advisors,2019-05-15,1309127897.5,56093261.65,195467776.33999997,0.08603075469632855
Brave Warrior Advisors,2019-08-14,929452009.21,298744.5,123702582.9,0.06155973478067019
Brave Warrior Advisors,2019-11-14,1097662943.95,23698489.89,55508758.18,0.07735248520475597
Brave Warrior Advisors,2020-02-14,1238386510.3500001,5797875.75,160416562.32,0.09766927098024898
Brave Warrior Advisors,2020-05-15,1300141412.9399998,210156835.86999997,41078010.870000005,0.0882629449952079
Brave Warrior Advisors,2020-08-14,1542734597.1699998,96139157.0,134147024.64,0.10460533814358174
Brave Warrior Advisors,2020-11-16,1989881909.27,201750483.79000002,50808031.9,0.11897226914829609
Brave Warrior Advisors,2021-02-16,2284120770.6799994,154474873.71,56072576.050000004,0.12587906306852933
Brave Warrior Advisors,2021-05-17,2855067431.09,370892104.81,469237968.53,0.15141497932503478
Brave Warrior Advisors,2021-08-16,2418804422.81,0.0,386526858.3,0.14570461718950192
Brave Warrior Advisors,2021-11-15,2471374553.5599995,168637311.45,434201116.75999993,0.1539846887759144
Brave Warrior Advisors,2022-02-14,2361586396.76,59148661.71,78544070.59,0.14800179868152308
Brave Warrior Advisors,2022-05-16,2711523991.27,188288711.94000003,169553031.63,0.15577667115734062
Brave Warrior Advisors,2022-08-15,2864700541.2799997,237979853.77999997,334187524.41,0.16001927650440892
Brave Warrior Advisors,2022-11-14,3109819386.0799994,173377873.22,80491556.55,0.16118213270605042
Brave Warrior Advisors,2023-02-14,3219114579.5099998,24316259.549999997,203140522.84,0.1652911476004152
Brave Warrior Advisors,2023-05-15,2881229761.680001,116170132.91,116158227.75999999,0.154322058707389
Brave Warrior Advisors,2023-08-14,3639713439.8599997,178741450.85999998,80587976.49,0.1667590417194559
Brave Warrior Advisors,2023-11-14,3741630721.0399995,177778512.68,260934807.84,0.16757500416734683
Masters Capital Management,2014-02-14,153602980.44,0.0,0.0,0.1
